no.,serial_number_for_camera,precinct,police_office,location
1,AA001,大同,寧夏,民生西路231號
2,AA002,大同,寧夏,民生西路257號
3,AA003,大同,寧夏,寧夏路55號燈桿
4,AA004,大同,寧夏,興城街31號前燈桿
5,AA005,大同,寧夏,錦西街63號
6,AA006,大同,寧夏,興城街36號旁
7,AA007,大同,寧夏,民生西路151號右前方燈桿
8,AA008,大同,寧夏,民生西路171巷27號前燈桿
9,AA009,大同,寧夏,興城街與錦西街口(錦西街120之1號旁燈桿)
10,AA010,大同,寧夏,寧夏路67號旁
11,AA011,大同,寧夏,民權西路136號前燈桿
12,AA014,大同,寧夏,寧夏路55號旁
13,AA015,大同,寧夏,重慶北路2段171號〈家樂福〉
14,AA015,大同,寧夏,重慶北路2段171號〈家樂福〉
15,AA016,大同,寧夏,民生西路49號旁(雙連捷運2號出口右側號誌)
16,AA017,大同,寧夏,興城街75號前燈桿
17,AA018,大同,寧夏,錦西街178號
18,AA018,大同,寧夏,錦西街178號
19,AA019,大同,寧夏,寧夏路77號右前方
20,AA020,大同,寧夏,承德路2段132號(分隔島)
21,AA021,大同,寧夏,歸綏街88-1號旁
22,AA022,大同,寧夏,歸綏街63號
23,AA023,大同,寧夏,歸綏街83巷口
24,AA024,大同,寧夏,雙連街53巷28號旁燈桿
25,AA025,大同,寧夏,民生西路63號旁
26,AA026,大同,寧夏,萬全街42號
27,AA026,大同,寧夏,萬全街42號
28,AA027,大同,寧夏,承德路2段185號
29,AA028,大同,寧夏,錦西街88號前號誌桿
30,AA029,大同,寧夏,錦西街90號旁
31,AA030,大同,寧夏,雙連街2號
32,AA031,大同,寧夏,萬全街78號前
33,AA032,大同,寧夏,萬全街3巷1-18號
34,AA033,大同,寧夏,承德路2段173號
35,AA034,大同,寧夏,民生西路95號前
36,AA035,大同,寧夏,錦西街38巷26-1號
37,AA035,大同,寧夏,錦西街38巷26-1號
38,AA036,大同,寧夏,民生西路與重慶北路2段北側分隔島
39,AA037,大同,寧夏,萬全街3巷1-16號
40,AA039,大同,寧夏,"民生西路,寧夏路45巷口燈桿"
41,AA039,大同,寧夏,"民生西路,寧夏路45巷口燈桿"
42,AA040,大同,寧夏,承德路2段159號前分隔島
43,AA040,大同,寧夏,承德路2段159號前分隔島
44,AA041,大同,寧夏,歸綏街97巷37之1號 
45,AA042,大同,寧夏,寧夏路110號前號誌桿
46,AA043,大同,寧夏,歸綏街171號對面燈桿
47,AA044,大同,寧夏,錦西街100號前號誌桿(西南角)
48,AA044,大同,寧夏,錦西街100號前號誌桿(西南角)
49,AA045,大同,寧夏,保安街1號-4
50,AA046,大同,寧夏,寧夏路131-1號
51,AA047,大同,寧夏,民權西路118巷14號右前燈桿
52,AA048,大同,寧夏,民權西路144巷口
53,AA049,大同,寧夏,民權西路216號前
54,AA050,大同,寧夏,涼州街1-20號
55,AA051,大同,寧夏,民權西路184巷59-1號旁
56,AA051,大同,寧夏,民權西路184巷59-1號旁
57,AA052,大同,寧夏,錦西街65巷38號前
58,AA053,大同,寧夏,蘭州街44號旁燈桿
59,AA054,大同,寧夏,民權西路160巷34號對面燈桿
60,AA055,大同,寧夏,承德路2段與民權西路東南角
61,AA055,大同,寧夏,承德路2段與民權西路東南角
62,AA056,大同,寧夏,蘭州街1號旁
63,AA057,大同,寧夏,民權西路118巷15弄7號旁(停車場出入口前)
64,AA058,大同,寧夏,蘭州街1號燈桿
65,AA059,大同,寧夏,承德路2段156號對面分隔島
66,AA059,大同,寧夏,承德路2段156號對面分隔島
67,AA061,大同,寧夏,錦西街85之1號前
68,AA062,大同,寧夏,錦西街59巷40號
69,AA063,大同,寧夏,民權西路144巷10弄2號左前方燈桿
70,AA064,大同,寧夏,民權西路96巷19號斜對面巷內(民權西路捷運站2號出口旁巷內)
71,AA065,大同,寧夏,民權西路184巷9號旁
72,AA066,大同,寧夏,承德路3段76號前
73,AA067,大同,寧夏,民權西路94巷2號口旁自立桿
74,AA067,大同,寧夏,民權西路94巷2號口旁自立桿
75,AA068,大同,寧夏,承德路2段民權西路102巷33弄口
76,AA069,大同,寧夏,民權西路102巷與4弄口
77,AA069,大同,寧夏,民權西路102巷與4弄口
78,AA070,大同,寧夏,承德路2段與錦西街東北角
79,AA071,大同,寧夏,重慶北路2段207號前分隔島
80,AA072,大同,寧夏,重慶北路2段227之3號前燈桿
81,AA073,大同,寧夏,承德路2段239號前分隔島(安源)
82,AA074,大同,寧夏,承德路２段與民權西路天橋(東南角人行道)
83,AA076,大同,寧夏,民權西路102巷27號左對面燈桿
84,AA077,大同,寧夏,民權西路136號
85,AA078,大同,寧夏,民權西路160巷28號對面燈桿
86,AA079,大同,寧夏,民權西路133巷20號牆上
87,AA080,大同,寧夏,昌吉街130號牆上
88,AA081,大同,寧夏,昌吉街110巷2號旁
89,AA082,大同,寧夏,承德路3段51巷23號右前
90,AA082,大同,寧夏,承德路3段51巷23號右前
91,AA083,大同,寧夏,台北橋上橋處-西往東/東往西(分隔島)
92,AA083,大同,寧夏,台北橋上橋處-西往東/東往西(分隔島)
93,AA084,大同,寧夏,大龍街54號
94,AA085,大同,寧夏,北市大同區民權西路139號前燈桿路口監控
95,AA086,大同,寧夏,承德路3段51巷20號前燈桿
96,AA086,大同,寧夏,承德路3段51巷20號前燈桿
97,AA087,大同,寧夏,承德路3段8巷2號前燈桿
98,AA088,大同,寧夏,蘭州街47-2號對面燈桿
99,AA089,大同,寧夏,大龍街19號右側燈桿
100,AA090,大同,寧夏,重慶北路3段25巷口
101,AA091,大同,寧夏,撫順街36-1號前
102,AA092,大同,寧夏,蘭州街89巷11號燈桿
103,AA092,大同,寧夏,蘭州街89巷11號燈桿
104,AA093,大同,寧夏,承德路3段22號左旁燈桿
105,AA094,大同,寧夏,民權西路79號
106,AA095,大同,寧夏,承德路3段2號右旁前燈桿
107,AA096,大同,寧夏,蘭州街126號前燈桿
108,AA097,大同,寧夏,蘭州街70號燈桿
109,AA098,大同,寧夏,昌吉街100號
110,AA099,大同,寧夏,昌吉街53號對面
111,AA100,大同,寧夏,昌吉街10號前
112,AA101,大同,寧夏,民權西路133巷9號牆上
113,AA102,大同,寧夏,承德路3段30號旁
114,AA103,大同,寧夏,承德路3段53號前
115,AA104,大同,寧夏,民權西路217號前號誌
116,AA105,大同,寧夏,承德路3段7號前分隔島燈桿
117,AA106,大同,寧夏,昌吉街72號右前燈桿
118,AA107,大同,寧夏,重慶北路3段21號(伊寧街路標) 
119,AA108,大同,寧夏,大龍街14號前
120,AA109,大同,寧夏,承德路3段72號
121,AA111,大同,寧夏,承德路3段30號前
122,AA-LPR01,大同,建成,台北橋 (民權西路與大龍街交叉口)
123,AA-LPR01,大同,建成,台北橋 (民權西路與大龍街交叉口)
124,AA-LPR01,大同,建成,台北橋 (民權西路與大龍街交叉口)
125,AA-LPR01,大同,建成,台北橋 (民權西路與大龍街交叉口)
126,AB001,大同,民族,迪化街2段246號
127,AB002,大同,民族,環河北路2段213巷2號
128,AB003,大同,民族,民族西路305號旁
129,AB004,大同,民族,環河北路2段207號前燈桿
130,AB005,大同,民族,重慶北路3段252巷3號前
131,AB006,大同,民族,延平北路4段102巷1號前
132,AB007,大同,民族,環河北路2段223巷4號燈桿
133,AB008,大同,民族,迪化街2段254號口
134,AB009,大同,民族,環河北路2段223巷4號 前
135,AB010,大同,民族,環河北路2段235巷1號燈桿
136,AB011,大同,民族,延平北路4段93號旁
137,AB012,大同,民族,迪化街2段252-2號燈桿
138,AB013,大同,民族,延平北路4段與酒泉街口東南角號誌桿
139,AB014,大同,民族,延平北路4段50號前號誌桿
140,AB015,大同,民族,環河北路2段221號右後方燈桿
141,AB016,大同,民族,酒泉街180號旁
142,AB017,大同,民族,重慶北路3段236巷49號旁
143,AB018,大同,民族,環河北路2段與民族西路東南角小綠人桿
144,AB019,大同,民族,迪化街1段44號口燈桿路口監控
145,AB020,大同,民族,民樂街71-1號口
146,AB021,大同,民族,峨眉街124號之4
147,AB022,大同,民族,重慶北路3段269號分隔島號誌
148,AB023,大同,民族,環河北路2段與酒泉街口
149,AB024,大同,民族,康定路216號前燈桿(桂林路與康定路)
150,AB025,大同,民族,迪化街2段296巷298號旁燈桿
151,AB026,大同,民族,民族西路252巷3號旁燈桿
152,AB027,大同,民族,承德路3段99巷1號旁
153,AB028,大同,民族,民族西路221巷7號對面
154,AB029,大同,民族,民族西路217號
155,AB030,大同,民族,中華路2段596巷底（台電變電所）
156,AB031,大同,民族,中山北路1段121巷與林森北路口分隔島
157,AB032,大同,民族,南京東/中山北路東側中央分隔島
158,AB033,大同,民族,南京東2段與新生高架橋下西南角小綠人
159,AB034,大同,民族,南京東/新生北路西側中央分隔島
160,AB035,大同,民族,中山北路1段126巷14號
161,AB036,大同,民族,南京東/新生北路西側中央分隔島
162,AB038,大同,民族,重慶北路3段136巷1號
163,AB039,大同,民族,南京東2段與建國北西北角人行道號誌
164,AB040,大同,民族,中原街98號前
165,AB041,大同,民族,中原街112-2號
166,AB042,大同,民族,中山北路2段77巷17之4號旁
167,AB042,大同,民族,重慶北路3段120巷27號燈桿
168,AB043,大同,民族,重慶北路3段180號前
169,AB044,大同,民族,重慶北路3段236巷44-2號旁壁掛
170,AB045,大同,民族,延平北路3段99巷3弄5號前燈桿
171,AB046,大同,民族,民族西路182巷1號燈桿
172,AB047,大同,民族,重慶北路3段57號分隔島
173,AB048,大同,民族,昌吉街61巷33號
174,AB049,大同,民族,重慶北路3段111號
175,AB050,大同,民族,重慶北路3段137巷9號前
176,AB051,大同,民族,昌吉街61巷33號
177,AB052,大同,民族,昌吉街81巷1號
178,AB053,大同,民族,重慶北路3段137巷56號
179,AB054,大同,民族,昌吉街81巷27弄1號
180,AB055,大同,民族,昌吉街61巷9弄2號
181,AB056,大同,民族,民族西路164號
182,AB057,大同,民族,重慶北路3段113巷30弄28號燈桿
183,AB058,大同,民族,昌吉街57號前區公所號誌桿
184,AB059,大同,民族,昌吉街55號(與大龍街西北角號誌桿)
185,AB060,大同,民族,大龍街136號前
186,AB061,大同,民族,重慶北路3段149號前
187,AB062,大同,民族,民族西路210號
188,AB063,大同,民族,重慶北路3段137巷6弄8號
189,AB064,大同,民族,信義路3段77號旁號誌桿
190,AB065,大同,民族,北市大安區建國南路2段69巷口路口監控
191,AB066,大同,民族,建國南路2段37號旁對面(39巷內)
192,AB067,大同,民族,民族西路32巷34號
193,AB068,大同,民族,承德路3段85巷11號
194,AB069,大同,民族,重慶北路3段113巷66號前燈桿
195,AB070,大同,民族,民族西路76巷口
196,AB071,大同,民族,承德路3段133號旁號誌
197,AB072,大同,民族,承德路3段87號
198,AB073,大同,民族,昌吉街35號
199,AB074,大同,民族,承德路3段110號旁(108巷口)
200,AB075,大同,民族,承德路3段88號旁
201,AB076,大同,民族,承德路3段97號
202,AB077,大同,民族,承德路3段145號旁燈桿
