時間,分局, 發生數(件), 破獲數(件)
 105年1月, 總計,3375,3253
 105年1月, 大同分局,214,181
 105年1月, 萬華分局,393,346
 105年1月, 中山分局,496,453
 105年1月, 大安分局,372,341
 105年1月, 中正一分局,177,172
 105年1月, 中正二分局,126,132
 105年1月, 松山分局,217,211
 105年1月, 信義分局,311,274
 105年1月, 士林分局,253,231
 105年1月, 北投分局,232,238
 105年1月, 文山一分局,121,105
 105年1月, 文山二分局,120,128
 105年1月, 南港分局,94,83
 105年1月, 內湖分局,249,248
 105年2月, 總計,3000,2931
 105年2月, 大同分局,245,255
 105年2月, 萬華分局,378,365
 105年2月, 中山分局,400,320
 105年2月, 大安分局,311,296
 105年2月, 中正一分局,142,122
 105年2月, 中正二分局,137,160
 105年2月, 松山分局,195,192
 105年2月, 信義分局,276,250
 105年2月, 士林分局,205,159
 105年2月, 北投分局,235,171
 105年2月, 文山一分局,90,90
 105年2月, 文山二分局,97,122
 105年2月, 南港分局,88,98
 105年2月, 內湖分局,201,184
 105年3月, 總計,3569,3607
 105年3月, 大同分局,256,253
 105年3月, 萬華分局,387,406
 105年3月, 中山分局,477,504
 105年3月, 大安分局,408,383
 105年3月, 中正一分局,173,175
 105年3月, 中正二分局,130,184
 105年3月, 松山分局,254,251
 105年3月, 信義分局,312,303
 105年3月, 士林分局,329,257
 105年3月, 北投分局,262,242
 105年3月, 文山一分局,110,100
 105年3月, 文山二分局,140,120
 105年3月, 南港分局,125,133
 105年3月, 內湖分局,206,183
 105年4月, 總計,3525,3450
 105年4月, 大同分局,254,250
 105年4月, 萬華分局,429,383
 105年4月, 中山分局,466,466
 105年4月, 大安分局,398,343
 105年4月, 中正一分局,144,137
 105年4月, 中正二分局,159,185
 105年4月, 松山分局,225,206
 105年4月, 信義分局,327,278
 105年4月, 士林分局,274,253
 105年4月, 北投分局,255,236
 105年4月, 文山一分局,109,96
 105年4月, 文山二分局,130,120
 105年4月, 南港分局,135,138
 105年4月, 內湖分局,220,223
 105年5月, 總計,3754,3734
 105年5月, 大同分局,306,304
 105年5月, 萬華分局,508,473
 105年5月, 中山分局,467,450
 105年5月, 大安分局,414,417
 105年5月, 中正一分局,156,136
 105年5月, 中正二分局,173,176
 105年5月, 松山分局,199,198
 105年5月, 信義分局,300,276
